Título,Precio,Descripcion,Imagen,URL,Vendedor,Valoración,Tabla
Grifo de cocina doble comando FV D7 Alerce 0428/D7 cromo acabado cromado,74602,"La marca FV es un referente en el rubro de las griferías porque ofrece productos confortables y decorativos desde hace casi 100 años. El modelo 0428/D7 es una solución estética y de gran calidad para tu hogar.

Diseño tradicional
El sistema doble comando tiene dos vías: una para el agua caliente y otra para el agua fría. Te permitirá elegir la temperatura de manera práctica y sencilla.

Flexible y giratorio
Su giro de 360º hará que puedas ajustar la dirección y el ángulo del grifo. Es ideal para lavaplatos grandes o dobles.

Ahorrá agua, evitá salpicaduras
El aireador hace que la salida del agua sea espumosa, suave y con menos presión. Esto minimiza las salpicaduras y posibilita un ahorro de hasta un 30 %. ¿No es genial?

Minimalismo en tu cocina
El metal es un material lleno de ventajas: higiénico, resistente y anticorrosivo. Además, es elegante y aporta un estilo moderno y minimalista.

Consumo inteligente
Este grifo incorpora un cierre cerámico que ayuda a reducir el consumo de agua y requiere un mínimo mantenimiento. Cuidá tu economía y colaborá con el cuidado del ambiente.",https://http2.mlstatic.com/D_NQ_NP_707539-MLA32543858665_102019-O.webp,https://www.mercadolibre.com.ar/grifo-de-cocina-doble-comando-fv-d7-alerce-0428d7-cromo-acabado-cromado/p/MLA8050792?pdp_filters=item_id:MLA821334612#is_advertising=true&searchVariation=MLA8050792&position=1&search_layout=grid&type=pad&tracking_id=fe932aab-82af-4eb7-b666-9babba016887&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=1&ad_click_id=MjI2YzU4ZWQtMzgyOS00N2ZiLWI2YzMtMWIzOTU0MTcwOGZi,MercadoLíder Platinum,4.8,"Marca:FV, Línea:D7 Alerce, Modelo:0428/D7, Color:Cromo, Acabado:Cromado, Modelo detallado:0428/D7-CR"
Grifo de cocina doble comando Aqualaf AQ7000 19001 cromo,14321,"Sin dudas, la cocina es uno de los lugares más transitados de la casa y, por ello, es muy importante elegir la grifería que se adapte a las necesidades de uso. La marca Aqualaf ofrece un diseño cómodo y práctico que te permitirá regular la salida de agua cuando laves platos, cocines, etc.

Diseño tradicional
El sistema doble comando tiene dos vías: una para el agua caliente y otra para el agua fría. Te permitirá elegir la temperatura de manera práctica y sencilla.

Ahorrá agua, evitá salpicaduras
El aireador hace que la salida del agua sea espumosa, suave y con menos presión. Esto minimiza las salpicaduras y posibilita un ahorro de hasta un 30 %. ¿No es genial?",https://http2.mlstatic.com/D_NQ_NP_704991-MLA44219870160_122020-O.webp,https://www.mercadolibre.com.ar/grifo-de-cocina-doble-comando-aqualaf-aq7000-19001-cromo/p/MLA9338090?pdp_filters=item_id:MLA1139260669#is_advertising=true&searchVariation=MLA9338090&position=2&search_layout=grid&type=pad&tracking_id=fe932aab-82af-4eb7-b666-9babba016887&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=2&ad_click_id=YjdkM2RkMTctMzY2Ni00MGVlLTlmNTctM2ZhN2RiYzNlZmNh,MercadoLíder Platinum,4.4,"Marca:Aqualaf, Línea:AQ7000, Modelo:19001, Color:Cromo"
Grifo de cocina doble comando FV 15 Allegro 0409/15 cromo,51355,"La marca FV es un referente en el rubro de las griferías porque ofrece productos confortables y decorativos desde hace casi 100 años. El modelo 0409/15 es una solución estética y de gran calidad para tu hogar.

Diseño tradicional
El sistema doble comando tiene dos vías: una para el agua caliente y otra para el agua fría. Te permitirá elegir la temperatura de manera práctica y sencilla.

Flexible y giratorio
Su giro de 360º hará que puedas ajustar la dirección y el ángulo del grifo. Es ideal para lavaplatos grandes o dobles.",https://http2.mlstatic.com/D_NQ_NP_955795-MLA46317431308_062021-O.webp,https://www.mercadolibre.com.ar/grifo-de-cocina-doble-comando-fv-15-allegro-040915-cromo/p/MLA9305338?pdp_filters=item_id:MLA929782236#is_advertising=true&searchVariation=MLA9305338&position=3&search_layout=grid&type=pad&tracking_id=fe932aab-82af-4eb7-b666-9babba016887&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=3&ad_click_id=ZmY0ZjBhMWItODM2MS00OTBiLWJhN2QtN2ZiNjhlZjMxZDMw,MercadoLíder Platinum,4.8,"Marca:FV, Línea:15 Allegro, Modelo:0409/15, Color:Cromo, Modelo detallado:0409/15-CR"
Griferia Canilla Mezcladora Pared Exterior Lavatorio Cocina,8999,"Somos LIBERCAM Tienda oficial.

Representantes e Importadores directos de
SPICA y SKMEI Tiendas oficiales

Más de 10 años vendiendo en Mercado Libre.
1 millón de compradores nos eligieron y recomendaron. 100% de calificaciones positivas. Elegidos por Mercado Libre como mejores vendedores de todo el sitio.

Somos MERCADO LÍDER PLATINUM.
_______________________________________________________________


Canilla Doble Comando Metal de pared

- Cuerpo de METAL cromado con excelente terminación.
- Cuello de cisne giratorio 360º.
- Mezcladora.
- Aireador espumante.
- Repuestos universales.
- Imágenes 100% reales del producto.

La instalación debe ser realizada por un profesional (no se debe utilizar adhesivo ni apretar de mas las tuercas y o rings).
Se debe contar con buena presión de agua en la cañería. Consultar con su plomero.


_______________________________________________________________
GARANTÍA OFICIAL DE FÁBRICA
Servicio Técnico Oficial: LIBERCAM y SPICA en todo el país.
Si vencida la garantía por alguna razón necesitas servicio técnico, nosotros nos encargamos. Ante imprevistos o inconvenientes te aseguramos que tu producto podrá ser reparado.
_______________________________________________________________
30 DÍAS DE PRUEBA:
Recibí el producto que esperabas o te devolvemos tu dinero. Estamos tan seguros de la excelencia y calidad de nuestros productos que te damos 30 días para que los pruebes. Si no estás conforme, podes devolvernos el producto y te devolveremos el dinero.
_______________________________________________________________
VENTAS MAYORISTAS:
En LIBERCAM somos importadores directos de todos los productos que comercializamos. Somos representantes oficiales de la marca SPICA, consúltanos para ser distribuidor oficial.
_______________________________________________________________
RETIROS EN NUESTRO SHOWROOM:
Sucursal LIBERCAM- Boedo (CABA).
Horarios: Lunes a Viernes de 10 a 18hs - Sábados y Feriados de 10 a 14hs
Sucursal abierta al público en general, no es necesario que nos avises antes de venir. Abrimos de corrido en los horarios de atención. Vení a conocer nuestros mejores productos.
_______________________________________________________________
MEDIOS DE PAGO:
Tanto en Mercado Libre como en nuestra sucursal aceptamos todos los medios de pago con tarjeta y pagos electrónicos.
_______________________________________________________________
EMITIMOS Factura A y B.
Si necesitas factura A te pedimos que coloques la información correspondiente en tus datos de facturación antes de finalizar la compra o te comuniques a la brevedad por la mensajería de la compra una vez realizada.
_______________________________________________________________
NUESTROS PRODUCTOS:
En el siguiente link podes ver todos los productos que tenemos en LIBERCAM para ofrecerte: https://listado.mercadolibre.com.ar/_CustId_13647702
_______________________________________________________________
ENVIOS A DOMICILIO A TODO EL PAIS MEDIANTE MERCADO ENVÍOS:
Para conocer los costos y tiempos de envíos de tu compra podes colocar tu código postal en el cotizador que se encuentra debajo del precio de cada publicación. Ahí podrás ver toda la información detallada.
_______________________________________________________________
ENVIOS POR MOTO FLEX EN CABA:
Podes consultar el costo de envío y la demora de tu compra seleccionando la opción ""MOTO FLEX"" o ""ENVÍO EN EL DÍA”.
_______________________________________________________________
Estamos disponibles on-line de 9hs a 00hs para responder todas tus consultas de manera rápida y eficaz. Para nosotros es un placer asesorarte.

LIBERCAM.",https://http2.mlstatic.com/D_NQ_NP_953915-MLA49514180964_032022-O.webp,https://articulo.mercadolibre.com.ar/MLA-844184244-griferia-canilla-mezcladora-pared-exterior-lavatorio-cocina-_JM#position=25&search_layout=grid&type=item&tracking_id=fe932aab-82af-4eb7-b666-9babba016887,MercadoLíder Platinum,4.1,"Marca:Libercam, Modelo:RGRI-023"
Canilla Griferia Mezcladora Cocina Pico Flexible Con Lluvia,11970,"GRIFERÍA PARA COCINA FLEXIBLE DUCHADOR:

* INCLUYE set de Instalación para fijación
* Manijas Comandos
* Material del duchador: ABS Macizo de alta calidad
* Material de manguera flexible: Acero inoxidable
* Material del cuerpo: Bronce 100%
* Material del mando: ABS
* Acabado: Cromado
* Vástago de bronce y cerámico de 35mm
* Cierre cerámico
* Griferia no apta para filtro de agua
* Para conexiones de 1/2
*Espesor maximo de mesada 3,5 cm
*Pico flexible y giratorio 360 grados
*Cabezal con boton para seleccionar 2 salidas de agua, a chorro y tipo lluvia
* No incluye flexibles



- La garantía tiene una duración de 3 meses, cubre los defectos de fabricación y rige a partir de la fecha de retiro o envío del producto. No están cubiertas por la garantía todas las piezas estropeadas por incorrecto uso o instalación incorrecta del mismo (la instalación del producto sin conocimiento previo lo cual genere un mal funcionamiento). O en caso de instalación y notar posterior falla del producto, que este mismo sea retornado en malas condiciones ya sean ralladuras o abolladuras. EN CASO DE DEVOLUCIONES O CAMBIOS DE PRODUCTOS EL COMPRADOR SE HACE CARGO DE LOS COSTOS DE ENVIO. GRACIAS !!",https://http2.mlstatic.com/D_NQ_NP_984591-MLA46428401525_062021-O.webp,https://articulo.mercadolibre.com.ar/MLA-926000173-canilla-griferia-mezcladora-cocina-pico-flexible-con-lluvia-_JM#position=26&search_layout=grid&type=item&tracking_id=fe932aab-82af-4eb7-b666-9babba016887,MercadoLíder Platinum,4.4,"Marca:Genérica, Línea:Cocina, Modelo:GR12, Acabado:Brillante"
Grifería Pared Exterior Canilla Mezcladora Premium Cromado,14249,"Grifería Pared Exterior Canilla Mezcladora Premium Cromado - Cierre Ceramico - Griferias Cocina Doble Comando - -Pico Móvil Giratorio -Mezcladora, Agua Fría y Agua Caliente
-Para Lavadero o Cocina -Rosca de 1/2""

TIENDA GAVATEX1 - ¡Somos MercadoLider Platinum! ¡Somos uno de los mejores del sitio!

-Cierre Ceramico
-Accesorios de Instalación
-Aireador (ahorra consumo y evita salpicaduras)
-Cromado de Excelente Calidad
-Pico Móvil Giratorio
-Mezcladora, Agua Fría y Agua Caliente
-Para Lavadero o Cocina
-Rosca de 1/2""

""MEDIDAS SEGUN LA IMAGEN DEL PLANO PUBLICADO""

FOTOS REALES!

-----------------------------------------------------------
ENTREGA
-----------------------------------------------------------

Retiro por tienda - Sin Cargo

-----------------------------------------------------------

LA ENTREGA ES SIEMPRE A CARGO DEL COMPRADOR

Entrega a domicilio dentro de CABA: Consultar. Se realiza a partir de las 48 hs hábiles.

Entregas en GBA / La Plata: Consultar.

Para otras zonas del país: Consultar.

-----------------------------------------------------------
PAGOS
-----------------------------------------------------------
Podes pagar con todos los medios de pago disponibles en Mercado Pago.

FACTURACION
-----------------------------------------------------
Realizamos Factura A / B
Por favor enviar los datos de facturación al confirmar el pedido.
-----------------------------------------------------------
HORARIO DE ATENCIÓN
-----------------------------------------------------------
Lunes a Viernes (hábiles) de 9 a 17:00 hs

Visita nuestro eShop para conocer nuestros productos:

https://eshops.mercadolibre.com.ar/gavatex1",https://http2.mlstatic.com/D_NQ_NP_669736-MLA49389302557_032022-O.webp,https://articulo.mercadolibre.com.ar/MLA-855536471-griferia-pared-exterior-canilla-mezcladora-premium-cromado-_JM#position=27&search_layout=grid&type=item&tracking_id=fe932aab-82af-4eb7-b666-9babba016887,MercadoLíder Platinum,4.3,"Marca:GAVATEX, Línea:Giraffe, Modelo:400.22"
Grifería Canilla Mezcladora Pared Exterior,13500,"CARACTERÍSTICAS :

Canilla Pared Exterior Pico Móvil Para Cocina, Lavadero, Bar, Cierre Cerámico
VOLANTES/MANIJAS DE METAL

- Medidas ajustable para instalaciones de 12,5 cm a 16,5 cm. ( tomadas entre centro de agua fría y centro de agua caliente),
- Medida de la pared al pico 16 cm aproximadamente.
- Mezcladora De Agua Fría y Caliente.
- Material: Íntegramente de Metal Con Terminación Cromado
- Ideal Para Cocina, Lavadero, Bar.
- Pico Móvil Giratorio De Acero Inoxidable.
- Aireador Espumante ( Evita Salpicar El Agua Y Ahorra El Consumo De Agua)
- Se puede desenroscar el pico para instalar Filtro De Agua
- Vástago de bronce y Cerámico con rosca de 1/2"" y 1/4 de Vuelta
- Cierre cerámico
- Kit de Codos Extensibles y Campanas.
- Para Instalaciones Con Conexión de 1/2 pulgada
"" LAS FOTOS SON SOLO A TÍTULO INFORMATIVO, ALGUNAS PIEZAS PUEDEN VARIAR""

- La garantía tiene una duración de 3 meses, cubre los defectos de fabricación y rige a partir de la fecha de envío del producto. No están cubiertas por la garantía todas las piezas estropeadas por incorrecto uso o instalación incorrecta del mismo (la instalación del producto sin conocimiento previo lo cual genere un mal funcionamiento). O en caso de instalación y notar posterior falla del producto, que este mismo sea retornado en malas condiciones ya sean ralladuras o abolladuras.

EN CASO DE DEVOLUCIONES O CAMBIOS DE PRODUCTOS EL COMPRADOR SE HACE CARGO DE LOS COSTOS DE ENVIO. GRACIAS !!",https://http2.mlstatic.com/D_NQ_NP_962651-MLA49356478489_032022-O.webp,https://articulo.mercadolibre.com.ar/MLA-810187902-griferia-canilla-mezcladora-pared-exterior-_JM#position=28&search_layout=grid&type=item&tracking_id=fe932aab-82af-4eb7-b666-9babba016887,MercadoLíder Platinum,4.4,"Marca:Genérica, Modelo:Canilla Pared Exterior Pico Móvil Para Cocina, Lavadero, Bar, Cierre Cerámico, Acabado:Cromado"
Canilla Doble Comando Griferi Cocina Negro Pico Flex Lluvia,15999,"// GRIFERIA DE COCINA CANILLA PICO FLEXIBLE NEGRO MATE //


- Descripción -

- Grifería de primera calidad para mesada de diseño moderno, con la combinación de colores Negro y Plateado.

- Grifería mezcladora para mesada con Manguera flexible pico lluvia regulable.

- La punta del pico NO es removible.

- Color: negro Mate. Conexión de bronce. Estructura metálica. Válvula de bronce con cierre cerámico.

Cartucho cierre cerámico de 40 mm.

<<<<< NO INCLUYE KIT DE INSTALACION NI FLEXIBLES >>>>>>


-----------------------------------------------------------------------------------------------------------------------------------


CENTRALFER BOEDO S.A.

HORARIOS:
LUNES A VIERNES 8.30 A 13 Y DE 14.30 A 20
SABADOS DE 8.30 A 14 Y DE 15.30 A 19.



SI TU PEDIDO ES URGENTE: Envíos en el día. Moto privada para todo capital federal y GBA

- Capital Federal: Envíos en el día por Flex
- GBA consultar costo de envío
- Envíos por Mercado Envíos


• Mercado líder PLATINUM
• Somos distribuidores oficiales de la marca en toda Argentina.
• Empresa líder con amplia trayectoria en el rubro.
• Empresa líder trabajando junto a Mercado Libre desde sus inicios hace más de 12 años.


• Personal capacitado para ofrecer asistencia inmediata
• Garantía por escrito
• Servicie propio


ESTAMOS A 5 CUADRAS DE LA ESTACION BOEDO DEL SUBTE E.


NO ES NECESARIO CONSULTAR STOCK: SI LO VES PUBLICADO ES PORQUE HAY DISPONIBILIDA",https://http2.mlstatic.com/D_NQ_NP_721157-MLA53457939510_012023-O.webp,https://articulo.mercadolibre.com.ar/MLA-1320245943-canilla-doble-comando-griferi-cocina-negro-pico-flex-lluvia-_JM#position=29&search_layout=grid&type=item&tracking_id=fe932aab-82af-4eb7-b666-9babba016887,MercadoLíder Platinum,4.8,"Marca:Electroland, Modelo:DL308"
Grifo de cocina doble comando Libercam GRI-22 gris acabado cromado,9499,"Sin dudas, la cocina es uno de los lugares más transitados de la casa y, por ello, es muy importante elegir la grifería que se adapte a las necesidades de uso. La marca Libercam ofrece un diseño cómodo y práctico que te permitirá regular la salida de agua cuando laves platos, cocines, etc.

Diseño tradicional
El sistema doble comando tiene dos vías: una para el agua caliente y otra para el agua fría. Te permitirá elegir la temperatura de manera práctica y sencilla.

Ahorrá agua, evitá salpicaduras
El aireador hace que la salida del agua sea espumosa, suave y con menos presión. Esto minimiza las salpicaduras y posibilita un ahorro de hasta un 30 %. ¿No es genial?

Pico flexible para agilizar las tareas
Su pico flexible te permite realizar varias acciones al mismo tiempo. Lavá los platos mientras desinfectás las verduras y ¡ganá tiempo para lo importante!

Consumo inteligente
Este grifo incorpora un cierre cerámico que ayuda a reducir el consumo de agua y requiere un mínimo mantenimiento. Cuidá tu economía y colaborá con el cuidado del ambiente.",https://http2.mlstatic.com/D_NQ_NP_791155-MLA50018024706_052022-O.webp,https://www.mercadolibre.com.ar/grifo-de-cocina-doble-comando-libercam-gri-22-gris-acabado-cromado/p/MLA19111665?pdp_filters=category:MLA53260#searchVariation=MLA19111665&position=4&search_layout=grid&type=product&tracking_id=fe932aab-82af-4eb7-b666-9babba016887,MercadoLíder Platinum,3.9,"Marca:Libercam, Modelo:GRI-22, Color:Gris, Acabado:Cromado"
Griferia Cocina Pared Canilla Mezcladora Volare Roma Metal,26962,"Grifería de cocina para pared de 2 llaves con volantes METALICOS, sistema de cierre convencional y sistema de filtro aireador en su pico que evita salpicaduras y le permitirá un mayor ahorro de agua.
El set viene completo tal cual se ve en la foto (arandelas-tuercas-orings-conectores excéntricos de bronce).

- Marca: VOLARE
- Modelo: ROMA METAL
- Material volante: METAL
- Material campana: ABS cromo
- Material del cuadro y vástago: Bronce
- Pico móvil con filtro aireador para mayor ahorro de agua
- Incluye conectores excéntricos
- Tipo de cierre: Convencional
- Excelente nivel de cromado

IMPORTANTE - MEDIDAS:
Del centro de rosca a rosca tiene 15,5cm y utilizando los excentricos varia de 13 a 17,5cm. La altura total es de 25cm y el pico sobresale 18cm.

Mercado pago
Mercado envios


Cualquier consulta estamos a disposición.",https://http2.mlstatic.com/D_NQ_NP_630442-MLA31614855117_072019-O.webp,https://articulo.mercadolibre.com.ar/MLA-776853269-griferia-cocina-pared-canilla-mezcladora-volare-roma-metal-_JM#is_advertising=true&position=10&search_layout=grid&type=pad&tracking_id=fe932aab-82af-4eb7-b666-9babba016887&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=10&ad_click_id=NTMxNGIxMmItNGVkMi00NTUzLWJjYjUtZDhjYTU5OGU3MjEx,MercadoLíder Gold,4.3,"Marca:Cafu, Modelo:VOLARE ROMA METAL"
Griferia Cocina Canilla Mesada Optima Cromo,21052,"Disfruta de la elegancia y funcionalidad de la Grifería Cocina Canilla Mesada Optima Cromo de Piazza. Esta grifería de cocina de doble comando te permite controlar la temperatura del agua con precisión, facilitando tus tareas diarias en la cocina. Su diseño en color plateado y materiales de alta calidad, como metal y ABS, le otorgan durabilidad y resistencia al paso del tiempo. La línea Optima se adapta perfectamente a la mesada de tu cocina, con dos agujeros para una instalación sencilla. Además, cuenta con la ventaja de ser mezclador, permitiéndote combinar agua caliente y fría según tus necesidades. Aunque no incluye filtro de agua, esta grifería de cocina Piazza es la opción ideal para quienes buscan estilo y practicidad en un solo producto.",https://http2.mlstatic.com/D_NQ_NP_763349-MLA44199058460_112020-O.webp,https://www.mercadolibre.com.ar/griferia-cocina-canilla-mesada-optima-cromo/p/MLA20028421?pdp_filters=item_id:MLA1281723273#is_advertising=true&searchVariation=MLA20028421&position=11&search_layout=grid&type=pad&tracking_id=fe932aab-82af-4eb7-b666-9babba016887&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=11&ad_click_id=ZjY1NjEwNTItZGI5ZS00NjhlLTk5NzUtNTU3MjM5ODkwNTk4,MercadoLíder Platinum,4.8,"Marca:Piazza, Línea:Optima, Modelo:Optima, Color:Plateado"
Grifo de cocina doble comando Peirano Ares 914 blanco cromo,25008,"Los grifos de la marca Peirano tienen como respaldo más de 80 años de trayectoria en el rubro sanitario. Además, cuentan con calidad certificada ISO 9001. Este modelo 914 es una solución para darle un toque diferente a tu cocina.

Diseño tradicional
El sistema doble comando tiene dos vías: una para el agua caliente y otra para el agua fría. Te permitirá elegir la temperatura de manera práctica y sencilla.

Flexible y giratorio
Su giro de 360º hará que puedas ajustar la dirección y el ángulo del grifo. Es ideal para lavaplatos grandes o dobles.

Ahorrá agua, evitá salpicaduras
El aireador hace que la salida del agua sea espumosa, suave y con menos presión. Esto minimiza las salpicaduras y posibilita un ahorro de hasta un 30 %. ¿No es genial?

Minimalismo en tu cocina
El metal es un material lleno de ventajas: higiénico, resistente y anticorrosivo. Además, es elegante y aporta un estilo moderno y minimalista.",https://http2.mlstatic.com/D_NQ_NP_915159-MLA41562062331_042020-O.webp,https://www.mercadolibre.com.ar/grifo-de-cocina-doble-comando-peirano-ares-914-blanco-cromo/p/MLA15583094?pdp_filters=item_id:MLA1136392150#is_advertising=true&searchVariation=MLA15583094&position=12&search_layout=grid&type=pad&tracking_id=fe932aab-82af-4eb7-b666-9babba016887&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=12&ad_click_id=MWZiNmVjYTctMTc3OC00ZGE1LTllYjctOTViNTRlOTNkMDE5,MercadoLíder Platinum,4.6,"Marca:Peirano, Línea:Ares, Modelo:914, Color:Blanco cromo"
Griferia Canilla Cocina Ext Doble Comando Mesada 2 Agujeros,9999,"Grifería de mesada para cocina doble comando.

Características:
• Material: Cuerpo de bronce con terminación de excelente cromado.
• Extensible (fijarse en última foto para las medidas)
• Uso: Para cocina
• Material de alta calidad-El accesorio de agua está hecho de metal resistente y tiene una larga vida útil.
• El grifo de agua es duradero con revestimiento de cromo, fácil de mantener y fácil de limpiar
• Fácil montaje automático.

Dimensiones:
- Ancho total: 24cm
- Profundidad: 12,5 cm
- Diámetro de rosca: 1/2""


CENTRALFER BOEDO S.A.

HORARIOS:
LUNES A VIERNES 8.30 A 13 Y DE 14.30 A 20
SABADOS DE 8.30 A 14 Y DE 15.30 A 19.



SI TU PEDIDO ES URGENTE: Envios en el dia. Moto privada para todo capital federal y GBA

- Capital Federal: Envios en el dia por Flex
- GBA consultar costo de envio
- Envios por Mercado Envios


• Mercado lider PLATINUM
• Somos distribuidores oficiales de la marca en toda Argentina.
• Empresa líder con amplia trayectoria en el rubro.
• Empresa líder trabajando junto a Mercado Libre desde sus inicios hace más de 12 años.


• Personal capacitado para ofrecer asistencia inmediata
• Garantía por escrito
• Servicie propio


ESTAMOS A 5 CUADRAS DE LA ESTACION BOEDO DEL SUBTE E.


NO ES NECESARIO CONSULTAR STOCK: SI LO VES PUBLICADO ES PORQUE HAY DISPONIBILIDAD",https://http2.mlstatic.com/D_NQ_NP_805937-MLA32276290627_092019-O.webp,https://articulo.mercadolibre.com.ar/MLA-816237067-griferia-canilla-cocina-ext-doble-comando-mesada-2-agujeros-_JM#position=30&search_layout=grid&type=item&tracking_id=fe932aab-82af-4eb7-b666-9babba016887,MercadoLíder Platinum,3.2,"Marca:BRASSCO, Modelo:BFA30301"
Canilla Doble Comando Flexible Negra Diseño P/ Cocina Mesada,15999,"Grifería para Cocina DOBLE COMANDO de Manguera Flexible

En Centralfer Boedo S.A.

Color: Negro
Acabado cromado y de goma
Cierre cerámico / Monocomando Cartucho de
Aireador Plástico (Pico)
Manija plástica
Incluye fijacion


CENTRALFER BOEDO S.A.

HORARIOS:
LUNES A VIERNES 8.30 A 14 Y DE 15 A 19
SABADOS DE 8.30 A 14


SI TU PEDIDO ES URGENTE: Envios en el dia. Moto privada para todo capital federal y GBA

- Capital Federal: Envios en el dia por Flex
- GBA consultar costo de envio
- Envios por Mercado Envios


• Mercado lider PLATINUM
• Somos distribuidores oficiales de la marca en toda Argentina.
• Empresa líder con amplia trayectoria en el rubro.
• Empresa líder trabajando junto a Mercado Libre desde sus inicios hace más de 12 años.


• Personal capacitado para ofrecer asistencia inmediata
• Garantía por escrito
• Servicie propio



NO ES NECESARIO CONSULTAR STOCK: SI LO VES PUBLICADO ES PORQUE HAY DISPONIBILIDAD",https://http2.mlstatic.com/D_NQ_NP_690688-MLA53475905515_012023-O.webp,https://articulo.mercadolibre.com.ar/MLA-899948251-canilla-doble-comando-flexible-negra-diseno-p-cocina-mesada-_JM#position=31&search_layout=grid&type=item&tracking_id=fe932aab-82af-4eb7-b666-9babba016887,MercadoLíder Platinum,4.2,"Marca:Centralfer, Modelo:CR-TAP 100"
Griferia Canilla Mezcladora Pared Exterior Lavatorio Cocina.,10999,"Canilla Doble Comando Metal para amurar

Cuerpo de METAL cromado con excelente terminación
Pico giratorio - agua fría y caliente (mezcladora)
Aireador espumante.
Presentación en caja individual
Repuestos universales
Imágenes 100% reales del producto

La instalación debe ser realizada por un profesional (no se debe utilizar adhesivo ni apretar de mas las tuercas y orings)
Se debe contar con buena presión de agua en la cañería. Consultar con su plomero.



CENTRALFER BOEDO S.A.

HORARIOS:
LUNES A VIERNES 8.30 A 18
SÁBADOS DE 8.30 A 14


SI TU PEDIDO ES URGENTE: Envíos en el dia. Moto privada para todo capital federal y GBA

- Capital Federal: Envios en el dia por Flex
- GBA consultar costo de envío
- Envios por Mercadoenvios


• Mercado lider PLATINUM
• Somos distribuidores oficiales de la marca en toda Argentina.
• Empresa líder con amplia trayectoria en el rubro.
• Empresa líder trabajando junto a Mercado Libre desde sus inicios hace más de 12 años.


• Personal capacitado para ofrecer asistencia inmediata
• Garantía por escrito
• Service propio



NO ES NECESARIO CONSULTAR STOCK: SI LO VES PUBLICADO ES PORQUE HAY DISPONIBILIDAD",https://http2.mlstatic.com/D_NQ_NP_602569-MLA51527900940_092022-O.webp,https://articulo.mercadolibre.com.ar/MLA-858781222-griferia-canilla-mezcladora-pared-exterior-lavatorio-cocina-_JM#position=32&search_layout=grid&type=item&tracking_id=fe932aab-82af-4eb7-b666-9babba016887,MercadoLíder Platinum,4.4,"Marca:Centralfer, Modelo:M001, Acabado:Cromada"
